course_code,course_title,department,section,times,location,instructor,credits,enrollment,description,url
AFAS 1001,INTRO TO AFRICAN-AMER STUDIES. .,AFAS,001/11355,M W 2:40pm - 3:55pm,Room TBA,Nyle Fort,4.00,100/100,"Prerequisites: Students need to register for a section of AFAS UN1010, the required discussion section for this course. From the arrival of enslaved Africans to the recent election of President Barack Obama, black people have been central to the story of the United States, and the Americas, more broadly. African Americans have been both contributors to, and victims of, this “New World” democratic experiment. To capture the complexities of this ongoing saga, this course offers an inter-disciplinary exploration of the development of African-American cultural and political life in the U.S. but also in relationship to the different African diasporic outposts of the Atlantic world. The course will be organized both chronologically and thematically, moving from the “middle passage” to the present so-called “post-racial” moment—drawing on a range of classical texts, primary sources, and more recent secondary literature—to grapple with key questions, concerns, and problems (i.e. agency, resistance, culture, etc.) that have preoccupied scholars of African-American history, culture, and politics. Students will be introduced to a range of disciplinary methods and theoretical approaches (spanning the humanities and social sciences), while also attending to the critical tension between intellectual work and everyday life, which are central to the formation of African-American Studies as an academic field. This course will engage specific social formations (i.e. migration, urbanization, globalization, etc.), significant cultural/political developments (i.e. uplift ideologies, nationalism, feminism, Pan-Africanism, religion/spirituality, etc.), and hallmark moments/movements (i.e. Harlem Renaissance, Civil Rights movement, etc.). By the end of the semester, students will be expected to possess a working knowledge of major themes/figures/traditions, alongside a range of cultural/political practices and institutional arrangements, in African-American Studies",https://bulletin.columbia.edu/columbia-college/departments-instruction/african-american-studies/
AFAS 1002,Major Debates in African-American Studies. .,AFAS,001/11353,W 12:10pm - 2:00pm,758 Ext Schermerhorn Hall,Jafari Allen,4.00,12/12,"Prerequisites: Students must register for discussion section, AFAS UN1003. This course will focus on the major debates in African-American Studies from the role of education to the political uses of art. The class will follow these debates historically with attention to the ways in which earlier discussions on migration and emigration, for example, were engaged with the specific historical conjuncture in which they took place as well as in the myriad ways in which earlier debates continue to resonate today. There will be a mix of primary documents and secondary sources and commentary",https://bulletin.columbia.edu/columbia-college/departments-instruction/african-american-studies/
AFAS 3943,Senior Pro Seminar. .,AFAS,001/13522,W 12:10pm - 2:00pm,Room TBA,Farah Griffin,4.00,8/12,"This course is a seminar for seniors to either write a formal proposal for a capstone project or to begin the research process for a Senior Thesis, which will be written in the Spring semester. This interdisciplinary course provides the necessary structure needed to complete either goal. This will be an interactive class in which students are required to participate and actively engage in each meeting",https://bulletin.columbia.edu/columbia-college/departments-instruction/african-american-studies/
AFAS 3930,TOPICS IN THE BLACK EXPERIENCE. .,AFAS,002/18240,T 4:10pm - 6:00pm,758 Ext Schermerhorn Hall,Johanna Almiron,4.00,7/12,Please refer to African American and African Diaspora Studies for section course descriptions https://afamstudies.columbia.edu/,https://bulletin.columbia.edu/columbia-college/departments-instruction/african-american-studies/
AFAS 3940,SENIOR THESIS SEMINAR. .,AFAS,001/10703,Th 4:10pm - 6:00pm,758 Ext Schermerhorn Hall,Megan French-Marcelin,4.00,2/12,"The Senior Seminar will afford thesis writers the chance to workshop their idea, conduct research and/or interviews, work with the IRB protocols (if necessary), learn to work with archival materials, and perform other research activities prior to writing the thesis. Students who choose to write a capstone paper or conduct a capstone project can choose an elective course the following semester. The Thesis Seminar, conducted in the spring semester, is a workshop-oriented course for Senior Thesis writers organized around honing their writing skills while providing guidance to students in their field/disciplinary-specific projects. For example, a student may choose to write a historical biography of an artist while another may pursue a sociological study of the effects of mass incarceration on voting rights. The instructor of the Thesis Seminar, working with a faculty adviser (dependent on the specific field of inquiry in the thesis), will provide feedback and supervise the writing schedule of the students",https://bulletin.columbia.edu/columbia-college/departments-instruction/african-american-studies/
AFAS 4080,Black Feminist Imaginaries: Practices and Poethics. .,AFAS,002/10694,W 2:10pm - 4:00pm,758 Ext Schermerhorn Hall,Jafari Allen,4.00,8/15,"This seminar will focus on theories, practices, and literature of Black thought and Black feminist imaginaries. We will read some of the significant Black feminist scholarship and literature that have emerged over the past three centuries with particular attention to Black feminist theorizing of the intersections of race and gender. The bulk of our reading will concentrate on 20th and 21st century texts with particular attention to the ways that Black feminists (even those retroactively so-named) have long insisted on the material, social, and spiritual significance of Black lives, Black life, and Black thought. In this course, we will read across genre and field to consider the myriad discourses in which Black feminist theorizing has intervened. The list of writers, artists, and thinkers whose work will guide our interrogations include Phillis Wheatley, Rebecca Cox Jackson, Zora Neale Hurston, Fanny Lou Hamer, Johnetta B. Cole, Audre Lorde, Angela Davis, Hortense Spillers, June Jordan, Toni Cade Bambara, Toni Morrison, Lucille Clifton, Susan Lori Parks, Saidiya Hartman, Adrienne Piper, Daphne Brooks, and Carrie Mae Weems, among others. Central to the course investigations is Carolyn Martin Shaw’s description in “Disciplining the Black Female Body: Learning Feminism in Africa and the United States”: “The individual, the social agent or actor, is a product of culture and produces culture. An individual's subjectivity is determined by that which he or she is subject to (such as laws, language, and stories) and that which he or she is subject of (such as personal decisions, actions, and stories). What holds together fragmentary cultures and part societies? I find the term discourse useful for thinking about linkages and articulations within and across “part societies.”” And across fields. Black feminist imaginaries offer discourses which intervene in dominating narrative, language, image, and knowledge structures. Multiple areas of knowledge and knowledge production must be brought to bear. We will read and think through how Black feminist imaginaries may reframe our understandings of the individual, the state, and the state of things",https://bulletin.columbia.edu/columbia-college/departments-instruction/african-american-studies/
AFAS 4080,Black Feminist Imaginaries: Practices and Poethics. .,AFAS,003/10697,W 12:10pm - 2:00pm,311 Fayerweather,Vivaldi Jean-Marie,4.00,7/15,"This seminar will focus on theories, practices, and literature of Black thought and Black feminist imaginaries. We will read some of the significant Black feminist scholarship and literature that have emerged over the past three centuries with particular attention to Black feminist theorizing of the intersections of race and gender. The bulk of our reading will concentrate on 20th and 21st century texts with particular attention to the ways that Black feminists (even those retroactively so-named) have long insisted on the material, social, and spiritual significance of Black lives, Black life, and Black thought. In this course, we will read across genre and field to consider the myriad discourses in which Black feminist theorizing has intervened. The list of writers, artists, and thinkers whose work will guide our interrogations include Phillis Wheatley, Rebecca Cox Jackson, Zora Neale Hurston, Fanny Lou Hamer, Johnetta B. Cole, Audre Lorde, Angela Davis, Hortense Spillers, June Jordan, Toni Cade Bambara, Toni Morrison, Lucille Clifton, Susan Lori Parks, Saidiya Hartman, Adrienne Piper, Daphne Brooks, and Carrie Mae Weems, among others. Central to the course investigations is Carolyn Martin Shaw’s description in “Disciplining the Black Female Body: Learning Feminism in Africa and the United States”: “The individual, the social agent or actor, is a product of culture and produces culture. An individual's subjectivity is determined by that which he or she is subject to (such as laws, language, and stories) and that which he or she is subject of (such as personal decisions, actions, and stories). What holds together fragmentary cultures and part societies? I find the term discourse useful for thinking about linkages and articulations within and across “part societies.”” And across fields. Black feminist imaginaries offer discourses which intervene in dominating narrative, language, image, and knowledge structures. Multiple areas of knowledge and knowledge production must be brought to bear. We will read and think through how Black feminist imaginaries may reframe our understandings of the individual, the state, and the state of things",https://bulletin.columbia.edu/columbia-college/departments-instruction/african-american-studies/
AFAS 4080,Black Feminist Imaginaries: Practices and Poethics. .,AFAS,004/15618,Th 2:10pm - 4:00pm,505 Lewisohn Hall,Anthony Johnson,4.00,4/12,"This seminar will focus on theories, practices, and literature of Black thought and Black feminist imaginaries. We will read some of the significant Black feminist scholarship and literature that have emerged over the past three centuries with particular attention to Black feminist theorizing of the intersections of race and gender. The bulk of our reading will concentrate on 20th and 21st century texts with particular attention to the ways that Black feminists (even those retroactively so-named) have long insisted on the material, social, and spiritual significance of Black lives, Black life, and Black thought. In this course, we will read across genre and field to consider the myriad discourses in which Black feminist theorizing has intervened. The list of writers, artists, and thinkers whose work will guide our interrogations include Phillis Wheatley, Rebecca Cox Jackson, Zora Neale Hurston, Fanny Lou Hamer, Johnetta B. Cole, Audre Lorde, Angela Davis, Hortense Spillers, June Jordan, Toni Cade Bambara, Toni Morrison, Lucille Clifton, Susan Lori Parks, Saidiya Hartman, Adrienne Piper, Daphne Brooks, and Carrie Mae Weems, among others. Central to the course investigations is Carolyn Martin Shaw’s description in “Disciplining the Black Female Body: Learning Feminism in Africa and the United States”: “The individual, the social agent or actor, is a product of culture and produces culture. An individual's subjectivity is determined by that which he or she is subject to (such as laws, language, and stories) and that which he or she is subject of (such as personal decisions, actions, and stories). What holds together fragmentary cultures and part societies? I find the term discourse useful for thinking about linkages and articulations within and across “part societies.”” And across fields. Black feminist imaginaries offer discourses which intervene in dominating narrative, language, image, and knowledge structures. Multiple areas of knowledge and knowledge production must be brought to bear. We will read and think through how Black feminist imaginaries may reframe our understandings of the individual, the state, and the state of things",https://bulletin.columbia.edu/columbia-college/departments-instruction/african-american-studies/
AFAS 4080,Black Feminist Imaginaries: Practices and Poethics. .,AFAS,005/15626,M 2:10pm - 4:00pm,401 Hamilton Hall,Nyle Fort,4.00,17/19,"This seminar will focus on theories, practices, and literature of Black thought and Black feminist imaginaries. We will read some of the significant Black feminist scholarship and literature that have emerged over the past three centuries with particular attention to Black feminist theorizing of the intersections of race and gender. The bulk of our reading will concentrate on 20th and 21st century texts with particular attention to the ways that Black feminists (even those retroactively so-named) have long insisted on the material, social, and spiritual significance of Black lives, Black life, and Black thought. In this course, we will read across genre and field to consider the myriad discourses in which Black feminist theorizing has intervened. The list of writers, artists, and thinkers whose work will guide our interrogations include Phillis Wheatley, Rebecca Cox Jackson, Zora Neale Hurston, Fanny Lou Hamer, Johnetta B. Cole, Audre Lorde, Angela Davis, Hortense Spillers, June Jordan, Toni Cade Bambara, Toni Morrison, Lucille Clifton, Susan Lori Parks, Saidiya Hartman, Adrienne Piper, Daphne Brooks, and Carrie Mae Weems, among others. Central to the course investigations is Carolyn Martin Shaw’s description in “Disciplining the Black Female Body: Learning Feminism in Africa and the United States”: “The individual, the social agent or actor, is a product of culture and produces culture. An individual's subjectivity is determined by that which he or she is subject to (such as laws, language, and stories) and that which he or she is subject of (such as personal decisions, actions, and stories). What holds together fragmentary cultures and part societies? I find the term discourse useful for thinking about linkages and articulations within and across “part societies.”” And across fields. Black feminist imaginaries offer discourses which intervene in dominating narrative, language, image, and knowledge structures. Multiple areas of knowledge and knowledge production must be brought to bear. We will read and think through how Black feminist imaginaries may reframe our understandings of the individual, the state, and the state of things",https://bulletin.columbia.edu/columbia-college/departments-instruction/african-american-studies/
AFAS 4080,Black Feminist Imaginaries: Practices and Poethics. .,AFAS,006/17396,W 2:10pm - 4:00pm,313 Pupin Laboratories,Obery Hendricks,4.00,3/12,"This seminar will focus on theories, practices, and literature of Black thought and Black feminist imaginaries. We will read some of the significant Black feminist scholarship and literature that have emerged over the past three centuries with particular attention to Black feminist theorizing of the intersections of race and gender. The bulk of our reading will concentrate on 20th and 21st century texts with particular attention to the ways that Black feminists (even those retroactively so-named) have long insisted on the material, social, and spiritual significance of Black lives, Black life, and Black thought. In this course, we will read across genre and field to consider the myriad discourses in which Black feminist theorizing has intervened. The list of writers, artists, and thinkers whose work will guide our interrogations include Phillis Wheatley, Rebecca Cox Jackson, Zora Neale Hurston, Fanny Lou Hamer, Johnetta B. Cole, Audre Lorde, Angela Davis, Hortense Spillers, June Jordan, Toni Cade Bambara, Toni Morrison, Lucille Clifton, Susan Lori Parks, Saidiya Hartman, Adrienne Piper, Daphne Brooks, and Carrie Mae Weems, among others. Central to the course investigations is Carolyn Martin Shaw’s description in “Disciplining the Black Female Body: Learning Feminism in Africa and the United States”: “The individual, the social agent or actor, is a product of culture and produces culture. An individual's subjectivity is determined by that which he or she is subject to (such as laws, language, and stories) and that which he or she is subject of (such as personal decisions, actions, and stories). What holds together fragmentary cultures and part societies? I find the term discourse useful for thinking about linkages and articulations within and across “part societies.”” And across fields. Black feminist imaginaries offer discourses which intervene in dominating narrative, language, image, and knowledge structures. Multiple areas of knowledge and knowledge production must be brought to bear. We will read and think through how Black feminist imaginaries may reframe our understandings of the individual, the state, and the state of things",https://bulletin.columbia.edu/columbia-college/departments-instruction/african-american-studies/
