course_code,course_title,department,section,times,location,instructor,credits,enrollment,description,url
N/A,AFAS UN1003 Blackness and Frenchness: A Radical Genealogy. .,N/A,N/A,N/A,N/A,N/A,4.00 points,N/A,,https://bulletin.columbia.edu/columbia-college/departments-instruction/african-american-studies/
N/A,AFAS UN3030 AFRICAN-AMERICAN MUSIC. .,N/A,N/A,N/A,N/A,N/A,3.00 points,N/A,"This course focuses on a central question: how do we define “African-American music”? In attempting to answer this question, we will be thinking through concepts such as authenticity, representation, recognition, cultural ownership, appropriation, and origin(s). These concepts have structured the ways in which critics, musicians and audiences have addressed the various social, political and aesthetic contexts in which African-American music has been composed (produced), performed (re-produced) and heard (consumed)",https://bulletin.columbia.edu/columbia-college/departments-instruction/african-american-studies/
N/A,AFAS UN3936 Black Intellectuals Seminar. .,N/A,N/A,N/A,N/A,N/A,4 points,N/A,,https://bulletin.columbia.edu/columbia-college/departments-instruction/african-american-studies/
N/A,AFAS GU4031 POPULAR MUSIC/PROTEST MOVEMNTS. .,N/A,N/A,N/A,N/A,N/A,4.00 points,N/A,,https://bulletin.columbia.edu/columbia-college/departments-instruction/african-american-studies/
N/A,AFAS GU4035 Criminal Justice and the Carceral State in the 20th Century United States. .,N/A,N/A,N/A,N/A,N/A,4 points,N/A,,https://bulletin.columbia.edu/columbia-college/departments-instruction/african-american-studies/
N/A,AFAS GU4037 Third World Studies. .,N/A,N/A,N/A,N/A,N/A,4 points,N/A,,https://bulletin.columbia.edu/columbia-college/departments-instruction/african-american-studies/
N/A,ENGL GU4621 HARLEM RENAISSANCE. .,N/A,N/A,N/A,N/A,N/A,3.00 points,N/A,"(Lecture). This course will focus on the arts of the Harlem Renaissance as experiments in cultural modernity and as forms of incipient political empowerment. What was the Harlem Renaissance? Where and when did it take place? Who were its major players? What difference did it make to everyday Harlemites? What were its outposts beyond Harlem itself? Was there a rural HR? An international HR? As we wonder about these problems of definition, we will upset the usual literary/historical framework with considerations of music and painting of the period. How to fit Bessie Smith into a frame with W.E.B. Du Bois? Ellington with Zora Neale Hurston? Aaron Douglas with Langston Hughes? Where is Harlem today? Does it survive as more than a memory, a trace? Is it doomed to be black no more? How does Harlem function in our national/(international?) imagination? Has the Harlem Renaissance's moment come and gone? What continuities might we detect? What institutions from the early twentieth century have endured?",https://bulletin.columbia.edu/columbia-college/departments-instruction/african-american-studies/
N/A,ENGL GU4622 AFRICAN AMERICAN LITERATURE II. .,N/A,N/A,N/A,N/A,N/A,3.00 points,N/A,"(Lecture). This survey of African American literature focuses on language, history, and culture. What are the contours of African American literary history? How do race, gender, class, and sexuality intersect within the politics of African American culture? What can we expect to learn from these literary works? Why does our literature matter to student of social change? This lecture course will attempt to provide answers to these questions, as we begin with Zora Neale Hurstons Their Eyes Were Watching God (1937) and Richard Wrights Native Son (1940) and end with Melvin Dixons Loves Instruments (1995) with many stops along the way. We will discuss poetry, fiction, drama, and non-fictional prose. Ohter authors include Ralph Ellison, James Baldwin, Gwendolyn Brooks, Malcom X, Ntzozake Shange, Audre Lorde, and Toni Morrison. There are no prerequisites for this course. The formal assignments are two five-page essays and a final examination. Class participation will be graded",https://bulletin.columbia.edu/columbia-college/departments-instruction/african-american-studies/
N/A,AMST UN3920 SENIOR PROJECT COLLOQUIUM. .,N/A,N/A,N/A,N/A,N/A,1.00 point,N/A,"This course is for American studies majors planning to complete senior projects in the spring. The course is designed to help students clarify their research agenda, sharpen their questions, and locate their primary and secondary sources. Through class discussions and a workshop peer review process, each member of the course will enter spring semester with a completed bibliography that will provide an excellent foundation for the work of actually writing the senior essay. The colloquium will meet every other week and is required for everyone planning to do a senior research project. Application due June 15. See American Studies website",https://bulletin.columbia.edu/columbia-college/departments-instruction/american-studies/
N/A,AMST UN3937 JOURNALISM AND DEMOCRACY: THE 2024 ELECTION. .,N/A,N/A,N/A,N/A,N/A,4.00 points,N/A,"The 2024 presidential election poses a dramatic test of both our political system and the media that covers it. The campaign offers us an opportunity to examine, in real time, the critical role the press plays in our democracy and how it has been disrupted in an era dominated by social media and hyper-partisanship. We’ll look back at some iconic pieces of political reporting and compare them to the landscape journalists face today. How are groups that were underrepresented (or misrepresented) in legacy media changing the discourse? Is objectivity obsolete? And what happens to the decisions voters make when disinformation is rampant, and the fact base is under assault? Join waitlist and attend first class for instructor's permission",https://bulletin.columbia.edu/columbia-college/departments-instruction/american-studies/
N/A,ANTH UN2031 Corpse Life: Anthropological Histories of the Dead [Previously Archaeologies of Death and . .,N/A,N/A,N/A,N/A,N/A,4 points,N/A,,https://bulletin.columbia.edu/columbia-college/departments-instruction/anthropology/
N/A,ANTH UN3007 ARCHAEOL BEFORE THE BIBLE. .,N/A,N/A,N/A,N/A,N/A,3.00 points,N/A,"Please note that this is not a class on “biblical archaeology”. It is a course about the politics of archaeology in the context of Israel/Palestine, and the wider southwest Asia region. This course provides a critical overview of prehistoric archaeology in southwest Asia (or the Levant - the geographical area from Lebanon in the north to the Sinai in the south, and from the middle Euphrates in Syria to southern Jordan). It has been designed to appeal to anthropologists, historians, and students interested in the Ancient Mediterranean and Middle Eastern Studies. The course is divided into two parts. First, a social and political history of archaeology, emphasizing how the nature of current theoretical and practical knowledge has been shaped and defined by previous research traditions and, second, how the current political situation in the region impinges upon archaeological practice. Themes include: the dominance of ""biblical archaeology"" and the implications for Palestinian archaeology, Islamic archaeology, the impact of European contact from the Crusades onwards, and the development of prehistory",https://bulletin.columbia.edu/columbia-college/departments-instruction/anthropology/
N/A,ANTH BC3234 Indigenous Place-Thought. .,N/A,N/A,N/A,N/A,N/A,4.00 points,N/A,"This seminar considers what it means to be of a place and to think with and be committed to that place—environmentally, politically, and spiritually. After locating ourselves in our own particular places and place-based commitments, our attention turns to the Indigenous traditions of North America, to accounts of tribal emergence and pre-colonial being, to colonial histories of land dispossession, to ongoing struggles to protect ecological health and land-based sovereignty, to the epistemological and moral systems that have developed over the course of many millennia of living with and for the land, and to the contributions such systems might make to our collective future. The seminar’s title is borrowed from an essay on “Indigenous place-thought” by Mohawk/Anishinaabe scholar Vanessa Watts",https://bulletin.columbia.edu/columbia-college/departments-instruction/anthropology/
