course_code,course_title,course_descr,instructor,scheduled_time_start,scheduled_time_end,call_number,campus,class_id,course_subtitle,department,department_code,instructor_wikipedia_link,link,location,method_of_instruction,open_to,points,prerequisites,scheduled_days,section_key,type
ACCT B6001,Financial Accounting,,Yao Liu,10:50am,12:20pm,15846,,B6001-20251-001,,Accounting (ACCT),ACCT,,https://doc.sis.columbia.edu/subj/ACCT/B6001-20251-001/,420 Kravis Hall,In-Person,Business,3,,TR,20251ACCT6001B001,LECTURE
ACCT B6001,Financial Accounting,,Edward Li,10:50am,12:20pm,15847,,B6001-20251-002,,Accounting (ACCT),ACCT,,https://doc.sis.columbia.edu/subj/ACCT/B6001-20251-002/,440 Kravis Hall,In-Person,Business,3,,TR,20251ACCT6001B002,LECTURE
ACCT B6001,Financial Accounting,,Yao Liu,9:00am,10:30am,15848,,B6001-20251-003,,Accounting (ACCT),ACCT,,https://doc.sis.columbia.edu/subj/ACCT/B6001-20251-003/,420 Kravis Hall,In-Person,Business,3,,TR,20251ACCT6001B003,LECTURE
ACCT B6001,Financial Accounting,,Yao Liu,2:20pm,3:50pm,15849,,B6001-20251-004,,Accounting (ACCT),ACCT,,https://doc.sis.columbia.edu/subj/ACCT/B6001-20251-004/,420 Kravis Hall,In-Person,Business,3,,TR,20251ACCT6001B004,LECTURE
ACCT B8007,Financial Planning & Analysis,"This course explores the use of financial information for internal planning, analysis, and decision-making. The main objective of the course is to equip you with the knowledge to understand, evaluate, and act upon the many financial and non-financial reports used in managing modern firms.
Managing any modern firm requires information about the firm’s products, processes, assets, and customers. This information is a key input into a wide range of decisions: analyzing profitability of various products, managing product-line portfolios, setting prices, measuring and managing profitability of customers, making operational and strategic decisions, evaluating investments, guiding improvement efforts, and so on.
The focus of this course is on modern internal-reporting systems. We will discover that many firms do not provide their managers with useful information; we will see numerous examples of value destruction and bankruptcies caused by this. We will also investigate some modern ideas in how an organization’s internal information system should be designed to enhance value creation; and we will see how world-class firms take advantage of their competitors’ internal-reporting mistakes.
To attain the right level of understanding, we will briefly explore the mechanics of the many techniques used to prepare internal reports. But the emphasis in this course is very much on interpretation, evaluation, and decision-making.
We will examine the following key topics:
Designing managerial information systems to support an organization’s strategy.
Determining which financial and non-financial metrics are necessary for success in various competitive environments.
Evaluating profitability of products, services, assets, and customers.
The capabilities and the limitations of various reporting systems in guiding value-maximization, cost-control, and improvement efforts.
The limitations of traditional cost-estimation systems.
Activity-based costing and activity-based management.
Estimating and managing the costs of capacity resources.
Relevant costs and relevant revenues in business decisions.
The information necessary to evaluate long-term business decisions.
The incentives created by various performance-evaluation techniques.",Tim Baldenius,9:00am,10:30am,16587,,B8007-20251-001,Financial Planning & Anal,Accounting (ACCT),ACCT,,https://doc.sis.columbia.edu/subj/ACCT/B8007-20251-001/,840 Kravis Hall,In-Person,"Business
Engineering:Graduate
Journalism
SIPA",1.5,,MW,20251ACCT8007B001,LECTURE
ACCT B8007,Financial Planning & Analysis,"This course explores the use of financial information for internal planning, analysis, and decision-making. The main objective of the course is to equip you with the knowledge to understand, evaluate, and act upon the many financial and non-financial reports used in managing modern firms.
Managing any modern firm requires information about the firm’s products, processes, assets, and customers. This information is a key input into a wide range of decisions: analyzing profitability of various products, managing product-line portfolios, setting prices, measuring and managing profitability of customers, making operational and strategic decisions, evaluating investments, guiding improvement efforts, and so on.
The focus of this course is on modern internal-reporting systems. We will discover that many firms do not provide their managers with useful information; we will see numerous examples of value destruction and bankruptcies caused by this. We will also investigate some modern ideas in how an organization’s internal information system should be designed to enhance value creation; and we will see how world-class firms take advantage of their competitors’ internal-reporting mistakes.
To attain the right level of understanding, we will briefly explore the mechanics of the many techniques used to prepare internal reports. But the emphasis in this course is very much on interpretation, evaluation, and decision-making.
We will examine the following key topics:
Designing managerial information systems to support an organization’s strategy.
Determining which financial and non-financial metrics are necessary for success in various competitive environments.
Evaluating profitability of products, services, assets, and customers.
The capabilities and the limitations of various reporting systems in guiding value-maximization, cost-control, and improvement efforts.
The limitations of traditional cost-estimation systems.
Activity-based costing and activity-based management.
Estimating and managing the costs of capacity resources.
Relevant costs and relevant revenues in business decisions.
The information necessary to evaluate long-term business decisions.
The incentives created by various performance-evaluation techniques.",Tim Baldenius,10:50am,12:20pm,16588,,B8007-20251-002,Financial Planning & Anal,Accounting (ACCT),ACCT,,https://doc.sis.columbia.edu/subj/ACCT/B8007-20251-002/,840 Kravis Hall,In-Person,"Business
Engineering:Graduate
Journalism",1.5,,MW,20251ACCT8007B002,LECTURE
ACCT B8008,Earnings Quality & Fundamental,"Financial reporting provides a window into the operational and financial workings of a company. However, translating this information into actionable insights is anything but straightforward. It requires an understanding of: Generally Accepted Accounting Principles (GAAP), the quality of financial information, and the adjustments and analyses used to assess profitability, risk, growth, and value.
 
 The course starts with a short review of financial reporting and then focuses on various modules of fundamental analysis, including earnings quality analysis, performance evaluation, risk assessment, forecasting, and valuation. The remaining class meetings (approximately 14 out of 24) are devoted to a deeper dive into the reporting and analysis of key transactions (e.g., business combinations, leasing) and financial statement line items (e.g., revenue, income taxes).
 
 To allow for dynamic progress, the class schedule is flexible:
 Topic Approximate # of class meetings
 1. Review of financial reporting 2
 2. Financial statement analysis 4
 3. Forecasting and valuation 4
 4. Revenue and related items 2
 5. Operating capacity 3
 6. Estimated items 3.5
 7. Financial instruments 2
 8. Investments in businesses 2.5
 9. Equity and related items 1
 Total 24
 
 While the course covers the theoretical underpinning of the various analyses, it focuses on implementation and practical uses. We will study many actual financial disclosures and cases of accounting abuses, and we will conduct fundamental-based valuation and other financial analyses, including using Excel tools that will be provided to the students. Studying financial disclosures will help you better understand the underlying assumptions and accounting choices the firm made in arriving at its accounting numbers. This information can be used to make earnings quality adjustments to the accounting numbers to make them more consistent across time or more comparable across companies. Studying cases of accounting abuses will help you improve your ability to “read between the lines” and develop a set of red flags to look for in analyzing financial statements. The class also incorporates insights from practitioner and academic research.
 
 The primary objective of the course is to acquire a deep understanding of accounting information and how to intelligently use it in making investment, credit, and similar resource allocation decisions. Such knowledge is required of investors, consultants, analysts, banke",Jonathan Glover,2:20pm,3:50pm,16655,,B8008-20251-001,Earnings Quality & Fundam,Accounting (ACCT),ACCT,,https://doc.sis.columbia.edu/subj/ACCT/B8008-20251-001/,820 Kravis Hall,In-Person,"Business
Engineering:Graduate
Journalism",3,,MW,20251ACCT8008B001,LECTURE
ACCT B8008,Earnings Quality & Fundamental,"Financial reporting provides a window into the operational and financial workings of a company. However, translating this information into actionable insights is anything but straightforward. It requires an understanding of: Generally Accepted Accounting Principles (GAAP), the quality of financial information, and the adjustments and analyses used to assess profitability, risk, growth, and value.
 
 The course starts with a short review of financial reporting and then focuses on various modules of fundamental analysis, including earnings quality analysis, performance evaluation, risk assessment, forecasting, and valuation. The remaining class meetings (approximately 14 out of 24) are devoted to a deeper dive into the reporting and analysis of key transactions (e.g., business combinations, leasing) and financial statement line items (e.g., revenue, income taxes).
 
 To allow for dynamic progress, the class schedule is flexible:
 Topic Approximate # of class meetings
 1. Review of financial reporting 2
 2. Financial statement analysis 4
 3. Forecasting and valuation 4
 4. Revenue and related items 2
 5. Operating capacity 3
 6. Estimated items 3.5
 7. Financial instruments 2
 8. Investments in businesses 2.5
 9. Equity and related items 1
 Total 24
 
 While the course covers the theoretical underpinning of the various analyses, it focuses on implementation and practical uses. We will study many actual financial disclosures and cases of accounting abuses, and we will conduct fundamental-based valuation and other financial analyses, including using Excel tools that will be provided to the students. Studying financial disclosures will help you better understand the underlying assumptions and accounting choices the firm made in arriving at its accounting numbers. This information can be used to make earnings quality adjustments to the accounting numbers to make them more consistent across time or more comparable across companies. Studying cases of accounting abuses will help you improve your ability to “read between the lines” and develop a set of red flags to look for in analyzing financial statements. The class also incorporates insights from practitioner and academic research.
 
 The primary objective of the course is to acquire a deep understanding of accounting information and how to intelligently use it in making investment, credit, and similar resource allocation decisions. Such knowledge is required of investors, consultants, analysts, banke",Jonathan Glover,10:50am,12:20pm,16808,,B8008-20251-060,Earnings Quality & Fundam,Accounting (ACCT),ACCT,,https://doc.sis.columbia.edu/subj/ACCT/B8008-20251-060/,670 Kravis Hall,In-Person,"Business
Journalism",3,,MW,20251ACCT8008B060,LECTURE
ACCT B8009,Financial Statement Analysis a,"This course will provide students with hands-on experience analyzing financial statements. Students will learn about the general tools, theoretical concepts, and practical valuation issues of financial analysis. By the end of the course, students should be comfortable using firms' financial statements (along with other information) to assess firm performance and make reasonable valuation estimates.
Course content and organization In the first half of the course, we will develop a valuation framework that integrates a firm’s strategy, its financial performance, and the credibility of its accounting. The framework consists of the following steps:
1. Understand the firm’s strategy. We will assess the firm’s value proposition and identify its key value drivers and risks.
2. Accounting Analysis. We will assess earnings quality and evaluate whether the firm's accounting policies capture the underlying business reality. If not, we will adjust the accounting to eliminate GAAP issues and management biases.
3. Financial Analysis. We will evaluate current performance with accounting data and financial ratios.
4. Prospective Analysis: Forecasting. We will assess whether current firm performance is sustainable, and we will forecast future performance. In our forecasts, we will consider growth, profitability, and future competitive advantage.
5. Prospective Analysis: Valuation. We will convert our forecasts of future earnings and book values into an estimate of the firm’s current value. 
In the second half of the course, we will apply the above framework to a variety of business valuation contexts, including IPOs, mergers, and equity-investment analyses.",Kalash Jain,2:20pm,5:35pm,16721,,B8009-20251-002,Financial Statement Analy,Accounting (ACCT),ACCT,,https://doc.sis.columbia.edu/subj/ACCT/B8009-20251-002/,640 Kravis Hall,In-Person,"Business
Engineering:Graduate
Journalism",3,,T,20251ACCT8009B002,LECTURE
ACCT B8009,Financial Statement Analysis a,"This course will provide students with hands-on experience analyzing financial statements. Students will learn about the general tools, theoretical concepts, and practical valuation issues of financial analysis. By the end of the course, students should be comfortable using firms' financial statements (along with other information) to assess firm performance and make reasonable valuation estimates.
Course content and organization In the first half of the course, we will develop a valuation framework that integrates a firm’s strategy, its financial performance, and the credibility of its accounting. The framework consists of the following steps:
1. Understand the firm’s strategy. We will assess the firm’s value proposition and identify its key value drivers and risks.
2. Accounting Analysis. We will assess earnings quality and evaluate whether the firm's accounting policies capture the underlying business reality. If not, we will adjust the accounting to eliminate GAAP issues and management biases.
3. Financial Analysis. We will evaluate current performance with accounting data and financial ratios.
4. Prospective Analysis: Forecasting. We will assess whether current firm performance is sustainable, and we will forecast future performance. In our forecasts, we will consider growth, profitability, and future competitive advantage.
5. Prospective Analysis: Valuation. We will convert our forecasts of future earnings and book values into an estimate of the firm’s current value. 
In the second half of the course, we will apply the above framework to a variety of business valuation contexts, including IPOs, mergers, and equity-investment analyses.",Kalash Jain,9:00am,12:15pm,16722,,B8009-20251-001,Financial Statement Analy,Accounting (ACCT),ACCT,,https://doc.sis.columbia.edu/subj/ACCT/B8009-20251-001/,820 Kravis Hall,In-Person,"Business
Engineering:Graduate
Journalism",3,,T,20251ACCT8009B001,LECTURE
