course_code,course_title,department,section,days_offered,time_starting,time_ending,location,instructor,credits,enrolled,max_enrollment,description,url,prerequisites,corequisites,is_currently_offered
AFAS 1001,INTRO TO AFRICAN-AMER STUDIES.,AFAS,001/11355,M W,2:40pm,3:55pm,Room TBA,Nyle Fort,4.00,0.0,100.0,"From the arrival of enslaved Africans to the recent election of President Barack Obama, black people have been central to the story of the United States, and the Americas, more broadly African Americans have been both contributors to, and victims of, this “New World” democratic experiment To capture the complexities of this ongoing saga, this course offers an inter-disciplinary exploration of the development of African-American cultural and political life in the U.S but also in relationship to the different African diasporic outposts of the Atlantic world The course will be organized both chronologically and thematically, moving from the “middle passage” to the present so-called “post-racial” moment—drawing on a range of classical texts, primary sources, and more recent secondary literature—to grapple with key questions, concerns, and problems (i.e agency, resistance, culture, etc.) that have preoccupied scholars of African-American history, culture, and politics Students will be introduced to a range of disciplinary methods and theoretical approaches (spanning the humanities and social sciences), while also attending to the critical tension between intellectual work and everyday life, which are central to the formation of African-American Studies as an academic field This course will engage specific social formations (i.e migration, urbanization, globalization, etc.), significant cultural/political developments (i.e uplift ideologies, nationalism, feminism, Pan-Africanism, religion/spirituality, etc.), and hallmark moments/movements (i.e Harlem Renaissance, Civil Rights movement, etc.) By the end of the semester, students will be expected to possess a working knowledge of major themes/figures/traditions, alongside a range of cultural/political practices and institutional arrangements, in African-American Studies",https://bulletin.columbia.edu/columbia-college/departments-instruction/african-american-studies/,"Students need to register for a section of AFAS UN1010, the required discussion section for this course",N/A,True
AFAS 1002,Major Debates in African-American Studies.,AFAS,001/11353,W,12:10pm,2:00pm,758 Ext Schermerhorn Hall,Jafari Allen,4.00,0.0,12.0,"This course will focus on the major debates in African-American Studies from the role of education to the political uses of art The class will follow these debates historically with attention to the ways in which earlier discussions on migration and emigration, for example, were engaged with the specific historical conjuncture in which they took place as well as in the myriad ways in which earlier debates continue to resonate today There will be a mix of primary documents and secondary sources and commentary",https://bulletin.columbia.edu/columbia-college/departments-instruction/african-american-studies/,"Students must register for discussion section, AFAS UN1003",N/A,True
AFAS UN1003,Blackness and Frenchness: A Radical Genealogy.,AFAS,N/A,N/A,N/A,N/A,N/A,N/A,4.00,N/A,N/A,N/A,https://bulletin.columbia.edu/columbia-college/departments-instruction/african-american-studies/,N/A,N/A,False
AFAS UN3030,AFRICAN-AMERICAN MUSIC.,AFAS,N/A,N/A,N/A,N/A,N/A,N/A,3.00,N/A,N/A,"This course focuses on a central question: how do we define “African-American music”? In attempting to answer this question, we will be thinking through concepts such as authenticity, representation, recognition, cultural ownership, appropriation, and origin(s). These concepts have structured the ways in which critics, musicians and audiences have addressed the various social, political and aesthetic contexts in which African-American music has been composed (produced), performed (re-produced) and heard (consumed)",https://bulletin.columbia.edu/columbia-college/departments-instruction/african-american-studies/,N/A,N/A,False
AFAS UN3943,Senior Pro Seminar.,AFAS,N/A,N/A,N/A,N/A,N/A,N/A,4.00,N/A,N/A,"This course is a seminar for seniors to either write a formal proposal for a capstone project or to begin the research process for a Senior Thesis, which will be written in the Spring semester. This interdisciplinary course provides the necessary structure needed to complete either goal. This will be an interactive class in which students are required to participate and actively engage in each meeting",https://bulletin.columbia.edu/columbia-college/departments-instruction/african-american-studies/,N/A,N/A,False
AFAS 3930,TOPICS IN THE BLACK EXPERIENCE.,AFAS,002/18240,T,4:10pm,6:00pm,758 Ext Schermerhorn Hall,Johanna Almiron,4.00,7.0,12.0,Please refer to African American and African Diaspora Studies for section course descriptions https://afamstudies.columbia.edu/,https://bulletin.columbia.edu/columbia-college/departments-instruction/african-american-studies/,N/A,N/A,True
AFAS UN3936,Black Intellectuals Seminar.,AFAS,N/A,N/A,N/A,N/A,N/A,N/A,4,N/A,N/A,N/A,https://bulletin.columbia.edu/columbia-college/departments-instruction/african-american-studies/,N/A,N/A,False
AFAS 3940,SENIOR THESIS SEMINAR.,AFAS,001/10703,Th,4:10pm,6:00pm,758 Ext Schermerhorn Hall,Megan French-Marcelin,4.00,2.0,12.0,"The Senior Seminar will afford thesis writers the chance to workshop their idea, conduct research and/or interviews, work with the IRB protocols (if necessary), learn to work with archival materials, and perform other research activities prior to writing the thesis. Students who choose to write a capstone paper or conduct a capstone project can choose an elective course the following semester. The Thesis Seminar, conducted in the spring semester, is a workshop-oriented course for Senior Thesis writers organized around honing their writing skills while providing guidance to students in their field/disciplinary-specific projects. For example, a student may choose to write a historical biography of an artist while another may pursue a sociological study of the effects of mass incarceration on voting rights. The instructor of the Thesis Seminar, working with a faculty adviser (dependent on the specific field of inquiry in the thesis), will provide feedback and supervise the writing schedule of the students",https://bulletin.columbia.edu/columbia-college/departments-instruction/african-american-studies/,N/A,N/A,True
AFAS GU4031,POPULAR MUSIC/PROTEST MOVEMNTS.,AFAS,N/A,N/A,N/A,N/A,N/A,N/A,4.00,N/A,N/A,N/A,https://bulletin.columbia.edu/columbia-college/departments-instruction/african-american-studies/,N/A,N/A,False
AFAS GU4035,Criminal Justice and the Carceral State in the 20th Century United States.,AFAS,N/A,N/A,N/A,N/A,N/A,N/A,4,N/A,N/A,N/A,https://bulletin.columbia.edu/columbia-college/departments-instruction/african-american-studies/,N/A,N/A,False
